"ID","District ID","District Name","State Name","REGION","School Type","Start of Year Status","Equal Mix schools","Majority Non-White schools","Majority White schools","NA schools","TOTAL schools","Percent Equal Mix schools","Percent Majority Non-White schools","Percent Majority White schools","Percent NA schools","Total students","Size_DESC","White_students","Non-White_students","Percent White_students","Percent Non-White students","DISNDX","DISNDX_DESC"
8873.00,"3007190","Columbus Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,469.00,"Less than 500 students",419.00,50.00,0.89,0.10,3.56,"Less than 10"
8874.00,"3007200","Columbus H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,244.00,"Less than 500 students",222.00,22.00,0.90,0.09,,"NA"
8875.00,"3007320","Conrad H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,153.00,"Less than 500 students",139.00,14.00,0.90,0.09,,"NA"
8876.00,"3007330","Conrad Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,3.00,0.00,3.00,0.00,0.00,1.00,0.00,342.00,"Less than 500 students",303.00,39.00,0.88,0.11,10.33,"10 - 25"
8877.00,"3007350","Cooke City Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,7.00,"Less than 500 students",4.00,3.00,0.57,0.42,,"NA"
8878.00,"3007410","Corvallis K-12 Schools","Montana","West Region","1-Regular school","1-Open",0.00,0.00,4.00,0.00,4.00,0.00,0.00,1.00,0.00,1342.00,"1,000 - 10,000 students",1139.00,203.00,0.84,0.15,5.33,"Less than 10"
8879.00,"3007500","Cottonwood Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,19.00,"Less than 500 students",17.00,2.00,0.89,0.10,,"NA"
8880.00,"3007710","Creston Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,121.00,"Less than 500 students",97.00,24.00,0.80,0.19,,"NA"
8881.00,"3007830","Culbertson Elem","Montana","West Region","1-Regular school","1-Open",0.00,0.00,2.00,0.00,2.00,0.00,0.00,1.00,0.00,187.00,"Less than 500 students",115.00,72.00,0.61,0.38,10.65,"10 - 25"
8882.00,"3007860","Culbertson H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,94.00,"Less than 500 students",52.00,42.00,0.55,0.44,,"NA"
8883.00,"3007930","Custer County H S","Montana","West Region","1-Regular school","1-Open",0.00,0.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,495.00,"Less than 500 students",446.00,49.00,0.90,0.09,,"NA"
